Country,Industry,Industry Filter,Regulation Status,Regulation Status Filter,Revenue Increase Due to AI (%),Top AI Tools Used,Year,Year Filter,AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Average AI Adoption Rate by Industry and Year,Avg AI Adoption Rate by Country and Year,Avg AI Adoption Rate by Year,Avg Consumer Trust by Top AI Tools,Avg Market Share by Country,Consumer Trust in AI (%),Dummy,Human-AI Collaboration Rate (%),Job Loss Due to AI (%),Job Loss to Collaboration Ratio,Market Share of AI Companies (%)
South Korea,Media,False,Strict,False,46,Bard,01-01-2022,True,44,33,44,44,44,41,19,41,0,75,17,0.226666667,19
China,Legal,False,Strict,False,52,DALL-E,01-01-2025,False,35,67,35,35,35,36,35,36,0,26,47,1.807692308,35
USA,Automotive,False,Moderate,False,46,Stable Diffusion,01-01-2022,True,81,96,81,81,81,54,23,54,0,40,11,0.275,23
France,Legal,False,Moderate,False,78,Claude,01-01-2021,False,85,94,85,85,85,52,2,52,0,29,28,0.965517241,2
France,Gaming,False,Strict,False,1,Midjourney,01-01-2021,False,79,46,79,79,79,42,21,42,0,22,17,0.772727273,21
USA,Retail,False,Lenient,True,28,ChatGPT,01-01-2021,False,67,48,67,67,67,68,8,68,0,64,1,0.015625,8
Australia,Media,False,Moderate,False,53,Claude,01-01-2023,False,68,6,68,68,68,72,15,72,0,53,6,0.113207547,15
UK,Gaming,False,Moderate,False,56,ChatGPT,01-01-2023,False,91,34,91,91,91,47,29,47,0,60,42,0.7,29
Canada,Education,False,Moderate,False,52,Claude,01-01-2025,False,17,88,17,17,17,61,23,61,0,65,5,0.076923077,23
China,Healthcare,True,Moderate,False,41,Stable Diffusion,01-01-2025,False,26,19,26,26,26,51,40,51,0,65,15,0.230769231,40
USA,Retail,False,Moderate,False,74,Synthesia,01-01-2023,False,12,92,12,12,12,66,29,66,0,58,26,0.448275862,29
India,Gaming,False,Strict,False,29,ChatGPT,01-01-2023,False,39,78,39,39,39,40,23,40,0,78,31,0.397435897,23
France,Marketing,False,Strict,False,13,Midjourney,01-01-2020,False,71,78,71,71,71,57,38,57,0,32,17,0.53125,38
France,Legal,False,Lenient,True,71,Bard,01-01-2021,False,26,86,26,26,26,64,30,64,0,36,48,1.333333333,30
USA,Gaming,False,Moderate,False,12,Stable Diffusion,01-01-2025,False,50,50,50,50,50,57,6,57,0,40,14,0.35,6
Japan,Legal,False,Lenient,True,51,Stable Diffusion,01-01-2024,False,68,97,68,68,68,33,8,33,0,23,9,0.391304348,8
Germany,Education,False,Strict,False,74,Stable Diffusion,01-01-2022,True,44,53,44,44,44,57,25,57,0,74,32,0.432432432,25
UK,Manufacturing,False,Lenient,True,38,Synthesia,01-01-2025,False,65,49,65,65,65,78,21,78,0,82,36,0.439024390,21
Japan,Healthcare,True,Strict,False,28,Midjourney,01-01-2022,True,63,25,63,63,63,56,31,56,0,54,28,0.518518519,31
France,Marketing,False,Lenient,True,72,Stable Diffusion,01-01-2025,False,63,7,63,63,63,44,42,44,0,64,22,0.34375,42
Canada,Gaming,False,Strict,False,72,Midjourney,01-01-2025,False,95,18,95,95,95,72,35,72,0,67,14,0.208955224,35
South Korea,Healthcare,True,Lenient,True,33,Midjourney,01-01-2025,False,44,88,44,44,44,77,41,77,0,73,40,0.547945205,41
Japan,Marketing,False,Lenient,True,21,DALL-E,01-01-2023,False,13,5,13,13,13,38,5,38,0,76,19,0.25,5
France,Media,False,Lenient,True,18,Synthesia,01-01-2022,True,50,6,50,50,50,79,28,79,0,35,23,0.657142857,28
France,Media,False,Moderate,False,14,Synthesia,01-01-2023,False,88,5,88,88,88,59,36,59,0,36,36,1,36
France,Automotive,False,Moderate,False,44,Synthesia,01-01-2020,False,80,20,80,80,80,45,14,45,0,83,39,0.469879518,14
USA,Retail,False,Strict,False,23,Midjourney,01-01-2020,False,26,74,26,26,26,45,3,45,0,65,22,0.338461538,3
Germany,Finance,False,Lenient,True,4,Claude,01-01-2022,True,88,13,88,88,88,34,32,34,0,25,13,0.52,32
France,Media,False,Moderate,False,50,Synthesia,01-01-2021,False,43,44,43,43,43,55,47,55,0,47,9,0.191489362,47
India,Retail,False,Lenient,True,33,DALL-E,01-01-2025,False,33,25,33,33,33,71,20,71,0,74,9,0.121621622,20
Canada,Retail,False,Lenient,True,19,Bard,01-01-2022,True,67,66,67,67,67,48,22,48,0,41,9,0.219512195,22
India,Automotive,False,Strict,False,24,DALL-E,01-01-2022,True,28,34,28,28,28,57,14,57,0,35,18,0.514285714,14
Japan,Retail,False,Moderate,False,19,Stable Diffusion,01-01-2025,False,45,44,45,45,45,54,46,54,0,25,33,1.32,46
Japan,Media,False,Moderate,False,50,Claude,01-01-2023,False,72,72,72,72,72,43,28,43,0,33,18,0.545454545,28
